mean, median, standard_deviation
718.5,738.5,119.8
772.7,752.5,234.7
706.6,703.5,152.1
597.5,569.5,147.3
829.4,806.0,247.5
663.6,688.5,104.7
659.5,624.0,182.0
532.3,541.0,137.2
572.9,575.0,158.0
701.7,688.8,160.5
