x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
979.817,386.898,966.484,532.826,986.117,574.815,966.163,659.549,923.527,584.322,1084.996,467.052,900.675,692.242,nan,nan,842.803,546.903,901.073,468.672
977.847,386.093,963.628,538.163,987.410,574.238,966.042,660.760,923.871,584.420,1086.521,468.322,898.821,691.538,nan,nan,842.731,546.261,901.329,468.497
977.247,385.713,963.077,539.381,988.252,573.978,965.730,657.009,923.954,584.224,1088.863,469.856,899.289,691.368,1030.884,533.353,842.917,545.279,901.417,468.048
974.107,384.794,963.179,540.136,988.630,574.007,965.711,662.013,924.052,583.895,1091.399,471.524,898.375,690.980,nan,nan,843.261,544.326,901.362,466.839
968.891,383.403,964.167,539.340,989.957,573.383,965.404,661.254,924.694,583.132,1092.296,472.093,897.952,690.709,1031.847,531.787,843.384,543.506,901.468,466.302
972.981,384.746,963.899,540.194,996.305,569.114,965.536,662.981,925.377,583.383,1093.669,472.792,898.468,689.964,nan,nan,843.948,542.876,901.869,466.474
965.248,383.428,965.003,539.466,991.955,572.662,965.284,662.933,925.930,584.135,1095.376,473.980,895.487,689.029,nan,nan,844.090,542.612,901.800,466.061
962.009,383.924,965.017,540.061,992.522,572.408,965.068,661.408,926.691,584.245,1098.233,476.033,895.495,687.915,1033.558,530.317,844.599,540.506,901.785,464.972
960.963,384.359,965.648,539.748,994.114,571.597,964.930,662.448,926.869,585.396,1099.999,477.177,894.335,685.988,nan,nan,844.886,538.761,901.863,465.033
955.234,385.810,966.370,539.348,1000.082,567.449,964.631,664.870,927.491,585.436,1101.063,477.847,893.716,684.188,nan,nan,845.003,538.719,901.941,465.282
953.664,386.413,966.767,539.302,1000.535,567.311,964.585,665.205,928.143,585.009,1102.742,478.627,892.717,681.783,nan,nan,845.405,536.712,901.992,464.540
952.083,386.803,966.983,539.623,1001.377,567.144,964.609,665.644,928.581,585.349,1105.005,480.800,892.437,679.580,nan,nan,845.964,535.830,902.167,465.037
950.669,387.171,967.872,538.953,1002.279,566.607,964.629,666.027,929.603,584.277,1105.750,481.769,891.626,677.101,nan,nan,846.041,535.376,902.049,464.331
947.661,388.019,968.080,539.115,999.691,570.325,964.606,668.059,929.778,584.211,1106.241,481.718,891.286,675.142,nan,nan,846.218,534.088,902.190,464.869
945.950,388.008,968.289,539.326,1002.836,566.515,964.475,668.176,930.477,583.299,1107.180,483.042,890.871,672.942,nan,nan,846.380,534.002,902.309,464.561
944.721,388.121,968.743,538.917,1003.132,566.375,964.511,669.239,931.488,581.907,1108.058,485.639,890.273,670.603,nan,nan,846.558,532.687,902.219,463.529
