mean, median, standard_deviation
94.9,79.0,44.2
74.8,64.0,39.7
83.3,71.0,41.4
106.8,108.5,14.4
83.5,78.5,27.8
81.8,70.0,38.3
111.1,101.5,48.4
72.5,69.0,17.2
138.8,101.0,80.9
159.9,144.5,81.6
