mean, median, standard_deviation
282.7,301.0,62.9
103.5,101.5,35.2
97.2,90.0,30.5
134.6,129.5,59.6
101.8,98.0,28.3
104.2,97.5,36.1
172.5,136.5,95.2
110.8,86.5,66.2
134.8,123.5,60.2
99.1,94.5,37.5
