mean, median, standard_deviation
320.2,331.0,109.1
308.3,330.0,96.8
259.6,259.5,85.9
196.9,145.5,98.6
179.8,150.5,82.2
332.6,336.0,98.6
239.2,223.5,95.8
253.3,241.5,83.6
249.7,228.5,107.8
245.5,233.5,103.1
