x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
1760.009,872.402,1552.146,1097.689,1731.755,945.762,1519.436,759.933,1455.398,1002.401,1590.460,1033.581,1718.383,1146.182,1774.512,610.898,1626.524,615.075,1627.146,720.506
1759.618,870.389,1551.386,1097.643,1731.714,946.006,1512.864,757.048,1455.567,1000.413,1590.152,1033.244,1717.438,1147.955,1774.610,608.840,1625.923,615.255,1628.626,721.297
1759.250,867.578,1551.280,1097.861,1731.741,946.922,1510.463,755.816,1455.625,1001.373,1590.597,1033.888,1717.087,1148.651,1774.614,606.572,1628.821,614.411,1625.435,720.806
1759.093,866.670,1550.873,1097.554,1731.840,947.818,1513.112,757.026,1455.395,1004.003,1591.541,1035.063,1717.035,1148.707,1774.585,606.382,1627.661,614.813,1626.308,721.085
1758.845,865.091,1550.345,1097.665,1732.014,948.492,1508.140,754.683,1455.994,1000.458,1591.412,1035.153,1716.020,1150.103,1774.701,604.965,1626.770,615.097,1628.094,721.935
1758.196,863.492,1549.917,1097.521,1731.780,948.876,1506.018,753.445,1456.392,997.276,1597.819,1043.597,1715.828,1150.589,1774.808,602.657,1622.253,616.887,1627.885,722.174
1758.139,862.200,1549.548,1097.550,1732.809,950.157,1511.160,756.132,1456.427,1000.463,1591.931,1035.592,1716.060,1150.412,1774.645,602.116,1621.347,617.487,1629.019,722.765
1757.992,860.174,1549.383,1097.665,1732.879,950.709,1504.429,752.940,1456.445,1000.380,1598.570,1044.290,1715.579,1151.144,1774.596,600.926,1620.512,617.679,1630.512,723.519
1757.813,857.857,1549.435,1097.310,1733.196,951.393,1503.631,752.457,1456.837,997.346,1598.393,1044.214,1715.685,1151.095,1774.572,599.647,1622.889,616.941,1630.897,723.873
1757.718,857.470,1548.854,1097.505,1733.826,952.817,1502.746,752.061,1456.594,1001.811,1598.273,1044.004,1714.986,1152.426,1774.582,599.756,1624.157,616.510,1631.585,724.307
1757.449,854.718,1548.208,1097.600,1734.420,953.614,1506.664,753.905,1456.963,998.925,1599.061,1045.261,1714.158,1153.669,1774.465,599.289,1618.325,618.777,1632.970,725.328
1757.504,855.179,1548.546,1097.457,1734.866,954.657,1500.188,750.892,1457.117,997.603,1599.724,1045.844,1713.206,1155.084,1774.510,597.517,1622.050,617.476,1634.484,726.171
1757.557,852.934,1547.762,1097.270,1735.103,955.510,1499.075,750.255,1457.157,997.622,1592.702,1037.154,1713.483,1154.702,1774.354,597.930,1617.465,619.237,1635.107,726.602
1757.364,851.021,1547.385,1097.068,1735.739,956.732,1499.073,750.361,1457.334,997.742,1593.028,1037.821,1712.998,1155.668,1774.363,596.416,1616.948,619.582,1635.962,727.119
1757.573,850.198,1546.948,1097.181,1735.913,957.515,1498.436,749.864,1457.069,1000.485,1592.760,1037.861,1712.404,1156.489,1774.313,595.286,1620.568,618.377,1637.410,728.131
1757.461,848.755,1546.707,1097.044,1736.328,958.436,1496.688,748.860,1457.178,1002.830,1593.960,1039.926,1712.110,1157.086,1774.334,594.386,1620.496,618.462,1638.021,728.447
