mean, median, standard_deviation
1320.0,1390.5,428.7
1188.7,1307.0,468.1
1330.8,1495.5,598.4
1393.9,1414.0,368.0
1500.6,1551.8,441.0
1259.0,1314.5,468.6
1299.5,1294.5,531.5
2204.8,2286.5,407.6
860.1,730.0,518.5
1618.2,1802.5,538.6
