x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
1289.130,704.043,1330.488,534.946,1452.099,672.322,1544.116,795.779,1469.663,824.165,1358.700,763.234,1462.925,504.431,1541.815,623.584,1424.899,538.772,1478.556,928.154
1289.273,704.431,1330.659,533.314,1452.185,672.245,1543.853,796.338,1470.005,825.274,1358.542,763.964,1463.344,505.046,1541.322,624.191,1424.986,538.582,1483.302,931.627
1288.847,703.327,1330.619,534.128,1452.359,672.288,1544.650,795.432,1470.614,826.436,1358.848,763.436,1463.937,505.290,1541.559,624.360,1424.944,536.874,1480.268,929.384
1289.149,703.318,1330.831,532.398,1452.765,671.582,1544.514,795.902,1471.184,827.223,1359.173,762.594,1464.910,505.373,1541.629,624.376,1424.879,537.172,1479.913,929.347
1288.976,703.487,1331.121,529.941,1453.056,671.610,1544.993,795.358,1471.607,828.814,1359.471,762.309,1464.670,505.508,1541.879,624.279,1424.790,537.836,1483.957,932.547
1288.916,703.386,1331.368,529.350,1453.517,670.931,1545.220,795.038,1468.364,817.924,1359.479,762.418,1465.628,505.880,1541.630,624.502,1424.604,537.890,1483.373,932.411
1288.746,702.856,1331.203,530.194,1453.291,671.193,1545.475,794.773,1469.619,820.914,1359.696,762.007,1465.442,506.095,1541.470,624.910,1424.715,536.346,1483.934,932.686
1288.988,702.919,1331.109,531.426,1454.074,670.396,1545.806,794.876,1471.095,823.843,1360.010,761.193,1464.928,506.430,1541.953,624.577,1424.643,536.630,1484.798,933.345
nan,nan,1331.221,531.044,1454.127,670.264,1546.011,795.145,1473.929,833.489,1360.291,761.310,1465.383,506.528,1541.537,625.114,1424.300,536.321,1485.010,933.386
1288.716,702.623,1331.066,533.370,1454.087,670.220,1546.582,794.119,1474.161,834.596,1360.539,760.632,1466.188,506.726,1542.185,624.627,1424.150,535.719,1485.011,933.262
1288.459,702.565,1330.941,534.015,1454.557,669.766,1546.409,794.781,1470.812,822.566,1361.178,758.473,1468.111,506.848,1542.418,624.468,1423.627,533.844,1484.925,932.903
1288.793,702.474,1330.886,533.355,1455.051,669.333,1542.742,801.127,1475.032,836.503,1361.413,758.424,1467.179,506.960,1542.481,624.298,1422.591,531.642,1486.036,933.488
1288.539,701.991,1330.965,533.471,1454.901,669.216,1543.316,800.402,1475.870,837.755,1361.285,759.505,nan,nan,1542.094,624.865,1422.067,531.239,1486.440,933.289
1288.704,701.458,1331.027,531.569,1455.530,668.564,1543.685,799.635,1476.295,838.871,1361.517,759.022,1468.269,507.288,1542.769,624.415,1421.537,532.174,1487.105,933.404
1288.817,701.291,1330.893,531.315,1455.150,668.858,1543.423,800.300,1474.985,832.688,1361.742,758.719,1469.543,507.258,1542.855,624.261,1420.599,532.208,1487.231,933.237
1288.650,701.041,1330.652,532.048,1456.007,667.863,1543.860,799.704,1477.196,841.028,1361.744,759.099,1468.407,507.255,1543.291,623.920,1419.301,531.402,1488.278,933.580
1288.480,701.012,1330.670,532.550,1455.965,667.797,1544.054,799.702,1473.391,829.215,1361.771,759.575,1469.825,507.241,1542.802,624.216,1418.386,531.734,1489.756,934.260
1288.497,700.940,1330.825,531.220,1455.868,667.980,1543.671,800.789,1477.942,843.215,1362.340,757.898,1470.521,507.278,1543.062,624.046,1416.990,531.555,1490.080,934.132
1288.490,700.875,1330.595,531.976,1456.343,667.363,1544.343,799.607,1478.181,844.256,1361.178,761.845,nan,nan,1541.511,625.223,1416.172,531.639,1491.461,934.559
1288.472,699.270,1330.699,530.682,1456.254,667.395,1544.939,798.850,1475.140,834.051,1362.116,758.984,1471.243,507.076,1541.572,625.213,1414.899,531.661,1490.643,934.218
