mean, median, standard_deviation
855.8,879.5,135.4
709.2,730.0,181.3
615.3,606.5,122.7
696.4,715.5,137.1
545.5,538.5,126.9
671.6,704.5,156.3
510.5,531.5,128.6
764.5,779.0,139.8
962.3,932.5,241.0
916.4,923.0,223.4
