x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
846.314,348.724,907.302,466.267,897.752,316.115,946.363,384.328,1073.851,224.456,824.591,329.837,912.070,236.640,732.765,403.675,952.464,316.849,1013.924,298.553
845.102,348.875,nan,nan,896.133,315.032,nan,nan,1073.344,223.982,824.210,329.415,911.702,237.093,733.364,404.740,953.041,317.185,1013.108,298.522
845.305,348.900,nan,nan,900.849,316.646,nan,nan,1073.079,222.602,823.777,328.842,909.289,236.798,734.302,406.722,954.091,317.933,1011.159,298.490
845.152,349.237,nan,nan,892.686,314.028,nan,nan,1072.808,221.471,823.343,328.455,903.606,235.677,734.600,407.518,955.141,318.960,1010.515,298.466
843.308,349.600,913.312,475.101,898.679,316.397,948.023,382.932,1072.414,220.303,822.655,327.677,907.747,236.999,735.622,409.360,955.789,319.998,1010.046,298.440
842.839,349.849,913.150,473.028,nan,nan,951.541,380.876,1072.112,220.242,822.534,327.317,907.898,237.210,735.256,408.975,nan,nan,1009.961,298.469
843.156,349.883,914.474,474.404,897.892,316.283,952.927,379.971,1072.449,217.482,821.913,326.808,902.274,236.575,736.280,410.783,956.572,321.561,1009.864,298.300
843.938,349.946,915.497,474.911,897.227,315.614,953.400,379.887,1071.862,217.251,821.733,326.206,900.510,236.634,737.274,412.706,956.713,321.692,1008.300,298.068
843.160,350.216,917.835,477.412,nan,nan,954.185,379.482,1071.347,216.979,821.349,325.919,903.810,237.436,737.210,412.016,nan,nan,1007.955,297.860
842.903,350.361,917.700,476.630,nan,nan,954.807,379.039,1071.678,216.106,821.456,325.242,898.712,236.638,737.739,412.975,nan,nan,1007.640,297.551
842.838,350.741,918.425,476.564,nan,nan,955.238,379.045,1071.240,217.015,821.196,324.789,897.845,236.688,738.954,414.521,nan,nan,1007.429,297.838
842.387,350.869,919.208,477.292,nan,nan,955.926,378.452,1070.920,216.770,821.198,324.472,897.040,236.810,740.609,415.933,nan,nan,1007.091,297.384
842.420,351.154,920.523,478.591,896.024,312.936,957.109,377.825,1069.970,216.357,821.010,323.681,896.110,236.923,740.882,415.858,956.999,321.776,1004.479,297.029
842.369,351.345,921.269,479.189,895.119,311.918,956.442,378.347,1068.919,216.607,821.071,323.217,896.306,237.164,743.227,418.524,958.882,321.558,1005.294,296.767
840.528,351.995,922.741,480.538,894.768,311.301,958.119,377.059,1067.864,217.455,820.896,322.496,894.525,237.117,744.660,419.499,959.366,321.466,996.780,296.089
841.181,352.025,923.132,480.719,894.542,310.857,957.643,377.447,1066.858,218.150,820.865,322.036,894.518,237.054,745.536,420.327,961.063,321.020,999.263,296.029
841.932,352.005,924.191,481.711,894.127,310.478,958.792,376.510,1065.100,218.573,820.552,321.483,894.748,237.679,747.436,421.559,962.850,320.783,999.275,295.822
840.722,352.266,924.704,482.418,892.711,309.906,959.148,376.244,1063.810,219.023,819.861,320.280,894.027,238.080,747.154,421.343,963.816,320.441,1001.597,295.779
841.449,352.160,925.918,483.384,891.282,309.257,960.333,375.314,1061.402,218.944,819.535,319.827,894.063,238.355,748.287,422.162,965.773,320.345,1001.293,295.630
841.427,352.211,926.596,483.870,890.442,309.072,960.042,375.335,1060.137,219.529,820.333,317.052,892.298,238.712,751.944,424.565,967.048,320.088,995.961,294.845
841.968,352.250,927.759,484.517,889.993,308.775,962.184,374.310,1057.988,219.532,819.104,316.506,891.076,239.279,752.164,424.863,969.738,319.829,997.529,295.121
841.151,352.589,928.367,484.683,889.996,308.912,963.639,373.770,1056.469,219.968,818.261,315.479,891.359,240.016,752.739,425.236,971.531,319.702,996.658,295.072
841.425,352.541,928.531,483.983,889.643,308.652,966.628,372.984,1055.245,220.272,817.512,316.262,890.088,240.934,756.129,427.405,973.344,319.804,995.274,294.737
841.220,352.581,929.722,484.788,888.210,308.601,967.853,372.918,1052.260,219.761,816.970,316.503,890.129,241.542,756.983,428.077,976.111,320.060,995.966,294.976
841.821,352.551,931.001,485.444,887.882,308.574,969.486,372.570,1052.189,220.936,816.544,316.768,890.789,242.185,758.381,429.088,977.536,320.504,1000.021,295.028
840.566,352.949,934.158,487.152,887.068,308.323,971.688,372.274,1044.719,218.404,815.966,316.436,889.727,243.188,761.013,430.649,982.290,320.894,994.481,293.594
840.615,353.113,936.152,487.190,nan,nan,973.257,372.380,1041.966,218.051,nan,nan,888.260,243.956,760.255,430.363,984.927,321.480,990.034,293.101
840.563,353.198,944.603,490.139,nan,nan,975.840,371.994,1041.879,218.254,nan,nan,887.483,244.711,762.109,431.585,986.284,322.044,990.503,292.697
840.811,353.212,940.086,487.126,888.703,308.032,978.307,371.767,1040.795,218.375,816.346,318.375,886.837,244.807,763.019,432.327,988.123,322.343,996.174,293.141
839.887,353.531,947.498,488.459,nan,nan,979.653,371.821,1041.134,218.581,nan,nan,886.445,245.299,764.693,433.363,990.075,322.743,996.719,293.249
838.992,353.797,949.677,487.811,888.086,307.304,981.265,371.939,1040.297,219.030,nan,nan,886.205,245.640,766.402,434.146,992.166,322.727,989.876,291.737
