x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
1021.185,525.202,1084.658,561.153,1051.639,398.909,nan,nan,1022.522,586.823,1176.226,481.850,1065.469,436.461,863.035,442.680,1079.982,728.342,1152.593,628.425
1025.053,530.960,1084.540,560.373,1052.593,399.821,nan,nan,1022.731,586.594,1174.707,478.255,1064.020,434.941,868.384,442.925,1078.537,729.443,1153.232,624.553
1022.356,527.005,1084.648,561.612,1053.516,401.225,nan,nan,1022.512,586.425,1173.563,475.912,1062.759,433.794,866.336,442.867,1076.926,730.741,1153.363,623.010
1022.968,528.160,1084.521,561.263,1053.546,401.613,nan,nan,1022.399,587.418,1172.532,474.520,1061.796,432.803,869.448,443.283,1075.467,731.989,1153.279,622.778
nan,nan,1084.576,560.993,1052.689,400.424,nan,nan,nan,nan,1171.481,472.023,1060.548,431.712,868.748,443.245,1073.918,732.983,1153.484,620.975
1029.374,541.374,1084.915,562.063,1052.385,399.283,nan,nan,1022.122,589.589,1170.054,469.300,1059.583,430.610,870.247,443.483,1072.525,734.249,1153.310,620.669
1025.470,532.994,1085.062,562.030,1052.530,398.545,nan,nan,1021.837,592.409,1168.455,464.634,1058.770,429.559,871.463,443.964,1070.725,735.635,1153.539,617.704
1027.386,540.482,1085.237,561.632,1052.879,398.607,nan,nan,1021.759,594.665,1167.726,462.825,1058.139,428.833,872.017,444.326,1069.455,736.650,1153.617,616.203
1029.067,547.742,1085.923,562.679,1052.589,397.991,nan,nan,1021.624,595.911,1166.836,461.291,1056.647,427.388,873.280,444.971,1066.513,738.879,1153.588,615.221
1027.462,544.191,1086.143,563.014,1053.207,398.986,nan,nan,1021.391,597.119,1165.721,458.104,1055.667,426.231,874.195,445.537,1065.936,739.406,1153.527,614.346
1028.591,551.023,1086.512,563.305,1053.270,399.117,nan,nan,1021.163,598.013,1165.214,456.620,1053.888,424.533,869.137,445.097,1064.482,740.407,1153.624,612.255
1027.587,546.998,1086.689,563.770,1053.468,400.004,nan,nan,1021.202,599.371,1164.306,453.876,1053.476,423.942,872.712,445.897,1062.994,741.684,1153.813,610.789
1027.642,549.542,1086.098,562.530,1053.563,401.274,nan,nan,1021.191,599.521,1163.675,451.355,1052.359,422.589,869.711,445.513,1061.440,742.644,1153.754,609.493
1027.932,552.497,1086.925,566.072,1054.246,402.076,nan,nan,1020.930,599.843,1164.658,455.225,1051.757,422.141,870.602,446.077,1060.031,743.767,1154.043,607.435
1028.055,553.740,1086.956,568.327,nan,nan,nan,nan,1021.333,600.258,1162.040,446.216,1049.849,420.239,874.467,447.274,1058.445,745.078,1154.069,608.003
1029.161,561.681,1086.843,569.979,nan,nan,nan,nan,1021.282,600.910,1160.931,442.491,1049.017,419.298,867.276,445.132,1056.317,746.541,1154.734,606.083
1029.368,563.651,1086.826,571.471,nan,nan,nan,nan,1021.386,600.175,1160.840,442.021,1048.122,418.781,870.846,446.562,1054.705,747.763,1154.533,605.214
1029.420,564.713,1086.251,572.320,nan,nan,nan,nan,1021.296,600.470,1160.183,439.482,1046.546,417.542,871.488,446.875,1053.257,748.946,1155.255,604.268
