x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
303.401,1848.946,707.209,1519.822,1016.134,1240.710,1226.426,1089.026,484.870,937.214,1430.690,1499.774,1733.151,837.365,1031.314,817.438,1207.754,878.197,1497.850,980.427
300.827,1848.598,709.858,1524.316,1017.915,1239.933,1233.153,1091.567,483.790,944.040,1436.457,1499.251,1734.819,840.027,1029.356,817.231,1210.894,879.430,1499.797,983.558
298.489,1847.305,713.738,1530.045,1013.824,1241.754,1238.706,1093.202,482.721,945.784,1438.611,1498.848,1734.778,842.658,1025.010,815.057,1215.016,880.766,1500.915,985.807
297.280,1845.938,718.107,1535.028,1002.005,1246.699,1245.823,1095.031,482.688,949.679,1445.366,1497.995,1737.160,846.661,1032.057,819.547,1218.911,881.578,1503.790,988.687
296.147,1844.925,722.888,1540.199,1003.347,1246.471,1255.490,1096.810,482.503,951.613,1446.667,1497.800,1741.338,850.147,1028.487,817.131,1221.975,882.375,1507.049,991.255
294.289,1842.981,726.484,1543.827,1002.079,1247.871,1263.112,1098.323,482.354,954.199,1452.003,1496.783,1743.401,852.669,1033.841,820.006,1226.116,883.232,1510.268,994.017
291.891,1840.265,729.915,1546.749,992.402,1252.212,1271.936,1099.812,482.332,956.859,1456.743,1495.570,1745.500,854.954,1034.304,819.847,1228.599,883.748,1513.694,996.521
288.696,1837.101,734.287,1551.343,988.049,1254.226,1279.626,1101.299,482.255,960.311,1460.477,1494.677,1746.055,855.946,1038.321,822.083,1234.039,884.801,1515.996,998.317
286.448,1834.770,738.351,1555.302,986.185,1254.936,1287.480,1102.745,481.846,963.622,1465.653,1493.182,1747.254,857.665,1038.767,822.029,1235.808,885.047,1520.699,1002.253
285.180,1833.464,741.968,1558.844,979.267,1258.258,1295.720,1104.667,481.819,965.981,1468.631,1492.538,1752.686,861.715,1039.360,822.239,1239.520,886.107,1523.675,1004.575
284.985,1833.292,747.533,1563.901,980.087,1258.336,1305.594,1106.262,481.710,968.897,1472.818,1491.751,1753.291,863.915,1043.771,825.403,1243.499,887.403,1528.952,1008.641
282.743,1830.858,751.760,1566.701,970.725,1262.525,1314.685,1105.977,482.351,970.845,1476.617,1491.157,1755.293,865.937,1042.196,823.644,1246.965,887.673,1533.996,1011.587
281.557,1828.775,756.424,1570.060,965.502,1265.025,1324.150,1105.594,483.325,972.656,1482.585,1490.012,1757.526,867.548,1048.211,826.943,1250.059,888.013,1539.763,1014.769
279.999,1826.629,758.779,1571.502,964.267,1265.497,1335.291,1104.344,483.555,975.560,1489.037,1488.777,1761.894,870.920,1050.120,827.788,1254.825,888.945,1542.817,1016.170
278.933,1826.142,762.430,1574.641,963.466,1265.616,1346.602,1102.368,482.924,978.089,1494.636,1487.512,1762.969,872.359,1050.879,828.063,1257.626,889.274,1546.847,1018.098
275.387,1823.914,765.206,1577.733,958.605,1267.511,1359.043,1100.066,482.040,980.318,1500.121,1486.265,1766.139,876.086,1051.185,828.657,1260.211,890.408,1550.528,1020.787
275.108,1823.945,768.829,1580.341,956.150,1268.897,1373.152,1097.345,481.705,980.659,1503.378,1485.200,1765.690,877.183,1052.016,829.203,1261.661,890.453,1556.102,1021.555
273.679,1822.164,772.085,1582.267,950.577,1271.024,1387.217,1094.706,481.849,984.134,1512.718,1482.127,1766.751,877.686,1052.986,829.462,1265.200,890.764,1562.433,1020.119
270.527,1818.995,776.168,1585.250,947.392,1272.432,1399.102,1092.653,481.697,986.214,1516.038,1480.389,1771.103,881.495,1053.502,829.631,1266.914,890.719,1565.052,1016.473
269.535,1819.125,779.201,1588.055,944.587,1273.726,1411.874,1089.943,480.654,987.154,1520.461,1479.025,1770.058,881.946,1053.684,829.979,1269.910,891.700,1567.902,1010.381
264.977,1815.459,784.020,1592.210,936.105,1277.600,1423.570,1087.576,479.735,990.307,1524.254,1477.522,1772.726,885.688,1057.536,832.694,1271.522,892.024,1568.756,1003.903
264.015,1815.748,787.365,1595.446,926.405,1282.320,1433.692,1086.596,478.661,991.876,1530.098,1475.286,1770.594,886.077,1055.561,832.126,1272.779,892.908,1571.840,994.862
261.754,1814.268,791.213,1598.731,927.101,1281.953,nan,nan,478.254,994.966,1531.929,1474.682,1774.145,889.210,1056.952,833.024,1272.913,893.098,nan,nan
261.711,1814.148,795.987,1602.090,923.317,1284.025,1453.093,1081.930,478.095,998.038,1538.246,1472.873,1775.894,891.647,1057.620,833.415,1277.693,894.165,1578.047,967.113
259.597,1811.095,801.874,1605.488,920.179,1286.254,1462.248,1079.635,478.909,1000.455,1545.141,1470.883,1777.644,892.842,1058.478,833.594,1280.293,894.333,1575.313,1033.449
258.978,1809.441,807.301,1608.410,917.119,1288.025,1472.983,1077.397,480.101,1000.779,1551.666,1469.491,1780.501,894.699,1061.175,834.134,1285.759,895.190,1589.000,1001.000
259.074,1809.003,811.347,1610.572,913.520,1290.058,1485.154,1074.910,480.746,1002.174,1558.191,1468.098,1782.803,896.099,1065.189,835.919,1288.513,895.657,1588.333,926.393
256.561,1807.143,816.207,1613.989,906.392,1293.360,1496.506,1072.652,480.614,1004.171,1564.668,1466.328,1785.137,898.554,1065.240,835.978,1291.109,896.190,1589.431,914.158
255.517,1806.653,819.183,1616.121,901.427,1294.830,1507.578,1071.137,481.693,1006.343,1570.132,1464.059,1783.842,899.239,1066.972,837.198,1292.694,896.453,1590.026,902.893
252.956,1804.168,822.831,1618.249,897.513,1295.861,1516.948,1069.731,486.087,1009.340,1584.660,1459.193,1786.867,901.323,1065.675,836.268,1295.616,896.726,1476.754,1488.090
252.571,1803.651,826.792,1620.343,896.795,1296.346,1525.385,1069.266,491.647,1013.122,1581.899,1459.131,1789.499,904.492,1067.598,837.125,1297.793,896.865,1589.860,885.957
251.707,1802.102,831.839,1623.055,893.665,1298.512,1536.723,1069.397,497.345,1016.658,1588.233,1457.455,1788.650,904.255,1071.120,838.655,1300.097,897.270,1591.745,882.016
251.459,1802.278,836.437,1625.406,889.519,1301.141,1547.798,1069.732,504.321,1023.383,1592.868,1456.449,1792.597,906.322,1073.069,839.469,1304.587,898.188,1591.154,878.693
247.972,1801.973,840.380,1628.031,885.691,1303.473,1555.388,1070.328,508.386,1028.300,1599.541,1454.236,1794.147,908.146,1074.258,839.806,1307.278,898.824,1590.075,876.039
246.049,1804.547,845.164,1631.620,880.394,1306.525,1561.474,1071.196,512.635,1035.009,1602.852,1453.576,1795.315,909.941,1074.741,840.391,1308.981,899.358,1588.149,874.299
