mean, median, standard_deviation
764.9,611.0,547.3
2778.9,2958.2,840.7
2548.6,2910.2,1040.3
3638.0,3945.0,990.0
1320.2,1409.0,465.0
2124.9,2272.5,839.1
1187.1,1126.0,538.5
1515.1,1489.5,639.1
1937.9,1990.0,443.2
2688.7,2796.5,558.3
