mean, median, standard_deviation
499.2,507.0,219.2
561.3,537.5,195.9
682.0,693.0,179.4
855.9,847.8,310.8
874.0,847.8,294.7
648.7,668.0,240.9
757.4,784.0,165.3
653.6,680.0,120.6
793.3,837.0,233.8
655.2,702.0,240.3
