x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
765.729,625.427,1162.766,371.898,934.562,600.988,1247.567,526.776,997.770,384.713,911.659,587.405,1069.663,335.108,729.518,593.498,718.131,738.067,938.548,339.348
764.139,625.750,1160.800,369.778,nan,nan,1244.447,526.605,996.568,383.477,910.023,586.285,1068.790,333.667,728.812,592.899,717.348,737.872,934.818,344.534
763.363,626.186,1157.811,367.910,nan,nan,1241.103,524.945,994.970,383.279,913.228,588.200,1067.263,332.415,727.723,591.936,718.060,738.086,929.973,350.935
763.056,626.195,1155.817,365.363,nan,nan,1238.147,522.352,993.091,382.516,916.434,590.115,1066.130,330.932,728.086,591.722,714.194,735.792,926.759,354.479
762.804,626.518,nan,nan,nan,nan,1236.444,519.426,991.957,382.236,906.668,583.825,1064.890,329.619,727.055,591.085,712.532,734.381,925.882,354.511
760.455,626.713,nan,nan,nan,nan,1234.773,516.703,990.632,381.450,905.507,582.799,1063.821,328.465,726.383,590.631,710.890,733.608,922.721,358.605
755.036,627.251,nan,nan,nan,nan,1232.065,512.038,989.994,381.004,904.283,582.736,1062.832,326.843,724.652,589.645,708.168,730.154,917.823,364.213
755.462,627.198,nan,nan,1147.296,353.135,1230.565,509.057,989.255,380.055,903.188,582.098,1062.276,326.042,723.894,589.492,708.517,728.241,915.716,366.384
756.720,627.352,926.260,595.058,1143.687,352.223,1228.892,506.525,986.837,378.907,902.181,581.451,1060.693,324.789,722.648,588.724,711.304,740.126,913.863,370.280
750.121,628.252,925.509,594.603,1141.002,350.161,1227.544,503.877,985.872,378.883,901.043,580.706,1059.714,323.769,722.239,588.549,707.693,713.876,911.627,373.739
752.044,628.255,924.042,593.670,1137.778,348.825,1225.564,501.072,984.477,378.348,899.312,580.063,1058.639,323.018,721.363,588.167,709.092,698.721,912.249,373.888
753.892,628.232,923.405,593.433,1135.202,346.867,1222.376,496.269,983.626,377.209,898.154,579.832,1057.122,322.390,721.019,587.592,709.764,693.609,908.970,380.447
751.239,628.482,921.538,592.328,1131.920,345.884,1220.072,493.789,982.241,376.324,896.845,579.429,1056.126,321.565,720.117,586.585,709.368,688.260,907.179,383.113
753.243,628.503,nan,nan,1128.246,347.095,1218.451,491.163,981.031,376.009,895.770,578.615,1054.645,320.893,719.505,585.311,708.985,683.167,906.304,384.525
752.600,628.723,917.733,590.850,1124.443,348.804,1217.007,490.074,980.499,375.323,895.316,578.229,1053.289,320.352,718.897,583.719,708.869,677.920,904.330,388.601
751.774,628.788,915.806,589.993,1121.621,349.416,1214.476,487.251,979.490,374.765,894.462,577.566,1052.388,320.019,718.273,582.748,708.242,673.031,903.119,391.672
750.214,628.442,913.349,588.723,nan,nan,1212.784,485.255,978.009,374.155,892.860,576.107,1051.776,319.668,717.791,581.405,708.425,667.870,904.777,386.441
747.094,628.125,914.572,589.029,nan,nan,1210.504,482.683,977.672,373.637,891.928,575.315,1049.934,319.228,717.466,580.285,708.528,664.599,902.736,390.018
746.598,628.351,914.179,588.739,1110.780,357.262,1209.209,481.063,976.033,372.545,890.615,574.513,1048.734,317.909,716.962,579.188,707.702,659.983,898.485,397.507
745.182,627.934,911.749,587.210,1107.644,357.230,1207.239,479.065,974.857,371.551,889.775,573.600,1047.124,318.000,716.294,577.970,707.368,656.716,896.807,399.164
745.565,628.135,911.481,586.725,1104.079,357.705,1206.548,478.551,973.524,370.812,887.958,572.773,1046.288,317.298,715.296,576.769,707.400,652.666,897.492,397.591
743.798,627.799,908.652,585.230,1100.785,358.392,1204.520,475.466,973.654,371.084,886.821,572.376,1045.151,316.423,715.127,576.049,706.623,648.739,892.807,405.347
743.155,627.692,909.031,584.516,1097.252,358.301,1202.705,473.626,971.520,369.713,885.273,571.856,1044.931,317.200,714.035,574.498,706.356,645.243,891.251,407.425
740.693,627.395,909.525,584.727,1093.689,358.570,1201.701,472.139,970.724,369.886,884.221,571.259,1043.725,315.911,713.285,573.688,706.427,641.908,893.023,404.552
740.698,627.481,906.897,582.691,1089.820,358.320,1199.993,470.353,969.808,370.065,882.005,571.284,1043.663,316.037,712.500,572.734,706.068,640.438,887.820,412.309
739.073,627.468,nan,nan,1086.585,358.351,1199.002,468.744,968.145,368.463,881.147,570.750,1042.004,315.193,712.081,572.068,705.748,636.838,886.316,414.590
738.042,627.475,nan,nan,1082.773,358.624,1197.458,466.763,966.561,368.142,877.572,570.422,1040.233,313.731,711.306,571.501,705.731,631.281,884.727,416.432
737.122,627.489,nan,nan,1079.148,357.713,1196.456,465.711,965.253,367.947,876.167,570.482,1038.818,312.982,710.198,570.064,704.853,628.917,883.186,418.872
732.889,626.784,704.682,563.314,1075.600,357.806,1195.159,463.591,963.935,367.199,874.104,569.697,1038.012,312.675,721.229,583.502,704.608,626.029,882.254,420.860
730.950,626.705,704.471,563.091,1072.726,357.486,1193.836,461.789,963.048,367.019,872.548,568.786,1037.061,312.363,720.917,583.048,704.281,623.186,881.002,422.971
730.481,626.926,nan,nan,1069.567,357.242,1192.693,460.769,961.541,366.332,870.679,567.599,1035.545,311.049,nan,nan,703.625,620.778,879.784,424.917
729.912,627.087,nan,nan,1067.189,357.110,1191.989,460.401,960.245,365.992,868.928,565.494,1035.073,310.340,nan,nan,703.757,618.340,878.988,426.443
727.869,626.489,nan,nan,1063.771,357.248,1190.115,457.313,959.416,365.282,867.364,563.942,1034.634,310.464,nan,nan,705.512,615.382,877.430,428.798
733.109,627.709,703.600,560.021,1061.082,357.602,1188.458,456.164,957.739,364.667,864.917,561.582,1033.718,309.805,718.347,581.028,709.053,611.333,876.667,430.438
731.284,625.109,nan,nan,1058.368,357.861,1187.998,455.241,957.167,364.193,863.465,560.755,1033.527,310.482,nan,nan,nan,nan,875.924,432.589
731.459,626.249,703.418,558.566,1055.910,358.233,1186.557,454.147,955.949,363.670,860.755,559.842,1032.906,309.352,717.452,579.419,nan,nan,874.890,433.816
730.817,624.681,nan,nan,1053.684,358.836,1185.914,453.687,955.096,363.215,857.242,559.718,1031.629,308.317,nan,nan,nan,nan,873.745,435.952
729.922,623.442,nan,nan,1050.727,359.205,1183.829,450.346,954.293,362.819,853.662,560.938,1030.681,307.943,nan,nan,nan,nan,872.852,437.232
729.062,621.318,701.122,556.275,1048.472,359.872,1183.119,450.850,953.268,362.136,850.022,564.186,1029.855,307.638,716.108,577.005,nan,nan,871.613,439.482
727.903,618.834,701.012,555.008,1045.495,360.079,1181.967,449.249,951.971,361.697,847.044,569.133,1028.605,306.988,715.223,577.456,738.967,598.174,870.689,440.513
727.005,617.241,701.394,552.857,1042.830,360.869,1181.156,448.638,951.232,361.108,846.075,574.632,1027.586,306.432,nan,nan,741.284,595.473,869.795,441.868
726.041,616.439,703.069,549.418,1039.811,361.112,1179.928,447.617,949.822,360.604,847.273,580.645,1026.475,306.437,nan,nan,743.226,593.434,868.732,443.491
726.139,616.694,705.460,546.655,1037.927,361.129,1179.310,447.168,949.388,360.262,848.889,585.997,1025.894,306.104,nan,nan,745.927,590.298,867.562,445.237
727.291,620.481,708.394,543.910,1035.392,361.025,1178.080,445.959,948.336,359.679,850.702,590.754,1025.016,305.536,719.493,587.067,748.141,587.860,866.576,446.532
727.283,618.572,709.662,541.535,1033.063,362.347,1177.186,445.029,947.083,359.435,851.598,594.861,1023.828,305.763,717.727,586.583,751.067,584.433,865.737,448.023
728.389,620.598,711.864,538.743,1031.786,364.141,1175.981,444.056,946.618,359.674,851.353,598.729,1022.766,305.661,716.714,586.357,753.969,581.645,865.400,449.451
729.244,621.654,712.782,535.687,1029.224,368.222,1174.845,442.933,945.428,358.488,851.595,603.009,1021.847,304.979,716.467,586.201,757.153,578.593,864.788,450.924
729.943,621.884,713.144,532.778,1028.697,372.128,1174.216,442.062,944.487,358.479,850.276,607.150,1021.540,304.980,716.163,585.655,760.546,574.851,864.313,452.790
718.154,590.600,714.130,529.862,1027.923,374.758,1173.369,441.440,943.042,357.505,849.956,611.174,1019.967,304.178,nan,nan,761.793,573.927,863.527,453.668
718.372,590.626,714.092,527.003,1026.850,379.913,1172.497,440.508,942.250,357.583,849.183,614.490,1019.567,303.727,nan,nan,762.581,573.052,862.866,455.234
719.175,592.995,714.552,523.503,1026.026,382.188,1171.493,439.845,941.955,357.141,848.200,619.279,1017.848,302.604,875.755,430.578,763.733,571.864,862.920,456.659
